"major","share","winner"
"Andalucía",0.337626616555461,"PSOE"
"Aragón",0.310204016962043,"PSOE"
"Asturias",0.336909086961556,"PSOE"
"Canarias",0.291642860188462,"PSOE"
"Cantabria",0.259917891230464,"PP"
"Castilla y León",0.319585827634933,"PP"
"Castilla–La Mancha",0.333761026463512,"PSOE"
"Catalunya",0.22728256399425,"ERC"
"Ceuta",0.355356656889722,"VOX"
"Comunitat Valenciana",0.278213038155405,"PSOE"
"Euskadi",0.321894393716383,"OTROS"
"Extremadura",0.386865286780752,"PSOE"
"Galicia",0.322847099459338,"PP"
"Illes Balears",0.257083493685641,"PSOE"
"La Rioja",0.352286167780999,"PSOE"
"Madrid",0.270883530954933,"PSOE"
"Melilla",0.29713467980616,"PP"
"Murcia",0.281578583969541,"VOX"
"Navarra",0.298849881308234,"OTROS"
